"163 Church Hill Road, Kingston, NY 12401",LISTING BY: RIVER REALTY SERVICES INC.,"$249,000",3,3,"6,198"
"2119 Maiden Ln, Rochester, NY 14626","MLS ID #R1526035, LISTING BY: RE/MAX REALTY GROUP","$179,900",4,2,"1,668"
"109 Glen Rd S, Rome, NY 13440","MLS ID #S1526969, LISTING BY: COLDWELL BANKER PRIME PROP. INC.","$169,900",3,1,"1,114"
"64 Miller Avenue, Amityville, NY 11701",LISTING BY: REALHOME SERVICES & SOLUTIONS,"$198,300",3,2,"1,500"
"7 Berwick Circle, Highland Mills, NY 10930",LISTING BY: KELLER WILLIAMS REALTY,"$674,000",3,3,"2,268"
"101 Manor Drive, Shirley, NY 11967",LISTING BY: SIGNATURE PREMIER PROPERTIES,"$450,000",3,2,--
"30 Luka Ln, Saugerties, NY 12477",LISTING BY: RVW SELECT PROPERTIES,"$499,900",3,3,"1,782"
"12 Joe Green Road, Fort Ann, NY 12827",LISTING BY: HUNT ERA,"$440,000",4,2,"1,590"
"4355 Ransom Rd, Clarence, NY 14031","MLS ID #B1525955, LISTING BY: HUNT REAL ESTATE ERA","$120,000",2,1,"1,587"
"30 Kibler Dr, Depew, NY 14043","MLS ID #B1526333, LISTING BY: KELLER WILLIAMS REALTY WNY","$259,900",3,2,"1,492"
"34 Jefferson Ave APT 2M, Brooklyn, NY 11238","LISTING BY: MICHAEL REED, LREB","$145,000",4,2,"1,120"
"109 Glen Rd S, Rome, NY 13440","MLS ID #S1526969, LISTING BY: COLDWELL BANKER PRIME PROP. INC.","$169,900",3,1,"1,114"
"64 Miller Avenue, Amityville, NY 11701",LISTING BY: REALHOME SERVICES & SOLUTIONS,"$198,300",3,2,"1,500"
"7 Berwick Circle, Highland Mills, NY 10930",LISTING BY: KELLER WILLIAMS REALTY,"$674,000",3,3,"2,268"
"101 Manor Drive, Shirley, NY 11967",LISTING BY: SIGNATURE PREMIER PROPERTIES,"$450,000",3,2,--
"30 Luka Ln, Saugerties, NY 12477",LISTING BY: RVW SELECT PROPERTIES,"$499,900",3,3,"1,782"
"12 Joe Green Road, Fort Ann, NY 12827",LISTING BY: HUNT ERA,"$440,000",4,2,"1,590"
"4355 Ransom Rd, Clarence, NY 14031","MLS ID #B1525955, LISTING BY: HUNT REAL ESTATE ERA","$120,000",2,1,"1,587"
"30 Kibler Dr, Depew, NY 14043","MLS ID #B1526333, LISTING BY: KELLER WILLIAMS REALTY WNY","$259,900",3,2,"1,492"
"34 Jefferson Ave APT 2M, Brooklyn, NY 11238","LISTING BY: MICHAEL REED, LREB","$145,000",4,2,"1,120"
"495 Main Avenue, Wynantskill, NY 12198",LISTING BY: VENTURE REALTY PARTNERS,"$374,900",4,3,"2,982"
"34 Partridge Walk, Lancaster, NY 14086","MLS ID #B1522382, LISTING BY: FLIPPED REALTY LLC","$289,900",3,2,"1,445"
"1070 Church Rd, Angola, NY 14006","MLS ID #R1526494, LISTING BY: KELLER WILLIAMS REALTY","$27,000",3,1,"1,200"
